Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-01,10:28:30,0.16,-0.87,0.56,-246.64,25.88,9.03
2025-02-01,10:28:30,0.24,-0.05,0.96,-53.59,22.89,-15.56
2025-02-01,10:28:30,0.13,-1.01,0.03,-40.95,12.82,3.17
2025-02-01,10:28:30,0.13,-1.00,0.23,-7.51,0.06,3.91
2025-02-01,10:28:30,0.20,-0.16,0.99,-196.78,19.04,-2.99
2025-02-01,10:28:30,0.20,0.47,0.87,-3.60,1.34,-1.71
2025-02-01,10:28:30,0.19,-0.67,0.77,335.75,-23.01,-1.83
2025-02-01,10:28:30,0.10,-1.03,0.07,-204.65,3.66,10.80
2025-02-01,10:28:30,0.14,0.63,0.88,-142.15,-5.68,23.93
2025-02-01,10:28:30,0.13,-0.20,0.94,331.48,19.10,14.47
2025-02-01,10:28:30,0.18,-0.96,-0.24,80.87,-4.94,6.10
2025-02-01,10:28:30,0.20,-0.95,-0.03,-128.85,5.07,14.34
2025-02-01,10:28:30,0.24,0.50,0.81,-40.34,5.25,11.96
2025-02-01,10:28:30,0.22,0.36,0.98,6.16,-17.94,-18.43
2025-02-01,10:28:30,0.27,0.56,0.79,1.89,-4.58,-2.01
2025-02-01,10:28:30,0.21,-0.28,1.02,483.46,-48.77,4.46
2025-02-01,10:28:30,0.08,-0.97,-0.07,-18.37,6.84,4.21
2025-02-01,10:28:30,0.08,-1.01,0.10,-3.72,1.28,1.04
2025-02-01,10:28:30,0.08,-0.99,0.14,-11.05,-1.53,-1.28
2025-02-01,10:28:30,0.05,-0.75,0.93,-258.00,8.67,-15.38
2025-02-01,10:28:30,0.84,0.33,0.10,12.76,132.45,144.04
2025-02-01,10:28:30,0.05,-0.09,1.14,33.45,-325.13,-80.63
2025-02-01,10:28:30,-0.80,-0.17,0.82,-13.37,-46.14,-19.53
2025-02-01,10:28:30,-0.51,-0.21,0.64,16.48,47.06,3.72
2025-02-01,10:28:30,0.34,0.24,0.37,-78.74,240.42,147.03
2025-02-01,10:28:30,0.82,0.25,0.21,46.69,-105.41,-30.76
2025-02-01,10:28:30,-0.26,-0.44,0.47,-66.53,-45.59,-109.92
2025-02-01,10:28:30,-0.87,-0.27,0.97,8.91,86.61,60.67
2025-02-01,10:28:30,0.45,0.08,1.00,-3.91,147.64,77.45
2025-02-01,10:28:30,0.83,0.30,-0.46,-98.94,78.49,-19.59
2025-02-01,10:28:30,0.57,0.11,0.94,160.10,-273.50,-145.81
2025-02-01,10:28:30,0.10,-0.17,0.97,38.21,-75.99,-87.52
2025-02-01,10:28:30,-0.68,-0.39,1.01,-22.16,-3.17,9.46
2025-02-01,10:28:30,0.46,0.23,0.76,-99.98,120.97,81.36
2025-02-01,10:28:30,0.85,0.44,-0.28,-67.02,42.79,4.76
2025-02-01,10:28:30,0.25,-0.22,1.05,-24.48,-259.34,-155.46
2025-02-01,10:28:30,-0.08,-0.19,0.95,-10.44,19.17,-16.72
2025-02-01,10:28:30,-0.53,-0.16,1.30,-62.13,45.29,29.85
2025-02-01,10:28:30,-0.25,-0.07,0.94,-1.65,1.22,1.28
2025-02-01,10:28:30,0.71,0.09,0.52,-73.06,208.98,14.83
2025-02-01,10:28:30,0.91,0.38,-0.10,3.60,-19.59,10.25
2025-02-01,10:28:30,0.93,0.33,0.17,19.71,-50.66,-14.47
2025-02-01,10:28:30,-0.81,-0.25,1.55,43.03,-233.34,3.30
2025-02-01,10:28:30,-0.56,-0.15,0.85,0.79,9.70,4.15
2025-02-01,10:28:30,-0.50,-0.12,0.85,-3.05,1.95,0.24
2025-02-01,10:28:30,-0.50,-0.32,1.11,-4.76,43.46,34.97
2025-02-01,10:28:30,0.78,0.39,0.67,-15.75,158.75,-11.78
2025-02-01,10:28:30,0.88,-0.01,0.34,59.39,-105.41,-21.91
2025-02-01,10:28:30,0.56,0.03,0.84,-1.65,-35.77,5.80
2025-02-01,10:28:30,0.26,0.28,1.06,26.06,-33.75,0.61
2025-02-01,10:28:30,0.19,0.22,1.02,32.41,-3.48,1.10
2025-02-01,10:28:30,0.16,0.05,1.02,22.64,0.31,3.78
2025-02-01,10:28:30,0.15,-0.03,1.02,-1.22,5.62,-3.05
2025-02-01,10:28:30,0.37,0.05,1.03,-45.65,188.17,20.45
2025-02-01,10:28:30,0.91,0.25,-0.24,-1.71,127.75,48.28
2025-02-01,10:28:30,0.40,0.22,-0.85,8.12,47.30,5.80
2025-02-01,10:28:30,0.67,0.14,0.01,30.33,-362.73,-36.50
2025-02-01,10:28:30,-0.62,-0.42,0.75,21.97,-221.31,-45.35
2025-02-01,10:28:30,-0.98,-0.52,0.88,-81.24,137.51,88.26
2025-02-01,10:28:30,0.77,0.07,0.55,-80.87,234.44,-9.95
2025-02-01,10:28:30,0.77,0.41,-0.65,-41.50,60.06,44.74
2025-02-01,10:28:30,0.56,0.31,-0.73,131.16,-233.64,-166.56
2025-02-01,10:28:30,-0.29,-0.07,0.40,-34.55,-86.98,-42.60
2025-02-01,10:28:30,-0.84,0.12,0.30,-100.59,287.23,165.95
2025-02-01,10:28:30,0.84,0.44,-0.04,70.86,273.25,49.26
2025-02-01,10:28:30,0.81,0.23,-0.71,-7.93,36.01,8.85
2025-02-01,10:28:30,0.78,0.16,-0.50,119.26,-153.56,-177.98
2025-02-01,10:28:30,-0.14,-0.43,0.62,-73.00,-185.79,-36.32
2025-02-01,10:28:30,-0.87,-0.16,0.40,-13.00,147.16,35.03
2025-02-01,10:28:30,0.70,0.20,0.45,-12.39,207.95,-1.65
2025-02-01,10:28:30,0.80,0.14,-0.57,-29.48,67.99,-13.85
2025-02-01,10:28:30,0.81,0.15,-0.63,71.72,-107.48,-45.10
2025-02-01,10:28:30,-0.05,0.00,1.05,-12.39,-197.39,39.73
2025-02-01,10:28:30,-0.78,-0.28,0.66,-10.93,-29.24,-31.86
2025-02-01,10:28:30,0.41,0.37,0.83,38.94,252.56,-11.35
2025-02-01,10:28:30,0.80,0.30,-0.54,-17.76,108.22,15.81
2025-02-01,10:28:30,0.47,0.24,-0.94,23.25,-10.31,-10.56
2025-02-01,10:28:30,0.34,-0.11,0.80,1.89,-210.45,-58.84
2025-02-01,10:28:30,-0.39,-0.29,1.11,28.75,17.15,-5.25
2025-02-01,10:28:30,0.87,-0.13,0.40,-2.26,154.17,47.73
2025-02-01,10:28:30,0.93,0.10,-0.52,18.55,57.37,18.55
2025-02-01,10:28:30,0.71,0.03,-0.57,3.54,46.39,32.29
2025-02-01,10:28:30,0.39,0.13,-1.06,-5.43,2.14,-10.80
2025-02-01,10:28:30,0.86,-0.08,-0.15,-81.18,-168.88,-45.04
2025-02-01,10:28:30,-0.01,-0.21,1.05,-21.42,-87.28,-22.52
2025-02-01,10:28:30,0.19,-0.02,0.79,44.86,324.46,10.13
2025-02-01,10:28:30,0.51,0.57,-0.88,20.45,154.72,80.51
2025-02-01,10:28:30,0.27,0.23,-1.08,-0.79,-66.04,-56.09
2025-02-01,10:28:30,0.30,-0.14,1.02,-26.06,-252.56,-10.44
2025-02-01,10:28:30,-0.27,-0.10,1.25,17.64,196.90,27.59
2025-02-01,10:28:30,0.66,0.21,-0.75,0.79,248.90,91.43
2025-02-01,10:28:30,0.25,0.30,-1.09,-4.03,-92.04,-0.18
2025-02-01,10:28:30,0.51,-0.08,0.67,-42.54,-316.10,-71.66
2025-02-01,10:28:30,-0.25,0.04,1.32,10.44,45.23,4.15
2025-02-01,10:28:30,0.80,0.16,-0.34,67.69,146.61,77.94
2025-02-01,10:28:30,0.35,0.57,-0.79,86.55,22.52,17.09
2025-02-01,10:28:30,0.77,0.37,-0.38,-5.98,-147.89,-118.23
2025-02-01,10:28:30,-0.01,-0.31,1.18,-73.97,-178.22,-32.84
2025-02-01,10:28:30,0.36,-0.26,0.72,106.87,316.53,-36.25
2025-02-01,10:28:30,0.42,0.34,-0.76,-5.37,72.45,25.63
2025-02-01,10:28:30,0.22,0.73,-0.94,100.77,-127.93,-73.06
2025-02-01,10:28:30,0.63,-0.24,0.71,-94.36,-187.38,-98.57
2025-02-01,10:28:30,-0.14,0.02,1.06,-13.12,-22.95,9.77
2025-02-01,10:28:30,-0.24,-0.02,1.07,38.27,23.74,11.78
2025-02-01,10:28:30,0.81,-0.45,0.27,-100.22,113.77,44.49
2025-02-01,10:28:30,0.61,-0.21,-0.54,21.97,96.44,19.23
2025-02-01,10:28:30,0.20,0.13,-1.11,-13.06,-145.87,-80.63
2025-02-01,10:28:30,0.48,-0.22,0.59,-68.18,-333.50,81.48
2025-02-01,10:28:30,-0.42,0.44,1.44,52.98,37.41,-56.34
2025-02-01,10:28:30,0.73,0.09,-0.54,139.53,205.08,87.65
2025-02-01,10:28:30,0.01,0.43,-1.07,-11.84,2.69,-9.64
2025-02-01,10:28:30,0.73,0.17,0.34,67.99,-273.50,-32.23
2025-02-01,10:28:30,-0.41,0.24,1.16,-20.51,-43.46,-4.33
2025-02-01,10:28:30,0.60,-0.32,0.19,218.51,303.28,-127.56
2025-02-01,10:28:30,-0.06,0.17,-1.03,13.92,61.71,29.24
2025-02-01,10:28:30,0.60,0.10,-0.58,-122.92,-281.37,-31.98
2025-02-01,10:28:30,-0.59,0.19,0.86,-52.06,-136.72,7.45
2025-02-01,10:28:30,0.52,-0.13,0.48,272.16,353.09,30.15
2025-02-01,10:28:30,0.22,0.37,-0.97,16.72,81.36,60.12
2025-02-01,10:28:30,0.05,0.64,-0.92,-19.23,-60.24,-106.38
2025-02-01,10:28:30,0.94,0.14,0.01,-70.01,-110.96,-9.89
2025-02-01,10:28:30,-0.12,0.22,1.10,8.79,-151.86,24.11
2025-02-01,10:28:30,-0.40,0.28,0.87,7.20,1.53,-14.28
2025-02-01,10:28:30,0.71,-0.28,0.17,94.73,271.06,7.08
2025-02-01,10:28:30,0.03,-0.01,-0.99,1.04,71.78,12.39
2025-02-01,10:28:30,0.42,-0.11,-0.80,-25.88,-200.50,-46.02
2025-02-01,10:28:30,0.58,0.04,0.86,-47.42,-247.44,42.05
